45, 149, 321, 642, 999, 1203, 1906, 2433, 3158, 3991, 4900, 6000, 7197, 8588, 10147
148, 434, 834, 1324, 1989, 2803, 3801, 4827, 6049, 7455, 9010, 10592, 12282, 14093, 16091
108, 338, 673, 1047, 1593, 2337, 3233, 4250, 5437, 6745, 8248, 9794, 11400, 13096, 14906
174, 432, 820, 1363, 1931, 2696, 3474, 4304, 5202, 6132, 7157, 8194, 9305, 10509, 11714
31, 201, 483, 897, 1376, 2014, 2809, 3766, 4861, 5960, 7152, 8353, 9724, 11096, 12579
79, 210, 348, 522, 793, 1191, 1687, 2362, 3124, 3964, 4912, 6021, 7227, 8546, 10037
123, 306, 689, 1245, 1949, 2772, 3654, 4679, 5821, 7109, 8405, 9888, 11530, 13308, 15091
48, 140, 327, 587, 1010, 1584, 2195, 2977, 3837, 4759, 5739, 6720, 7890, 9143, 10491
93, 237, 437, 675, 948, 1399, 1861, 2416, 3107, 3903, 4722, 5577, 6530, 7495, 8634
91, 324, 690, 1121, 1667, 2341, 3019, 3721, 4499, 5449, 6449, 7568, 8794, 10211, 11697
24, 195, 489, 919, 1516, 2172, 2985, 3853, 4898, 5960, 7208, 8540, 9887, 11395, 12941
109, 289, 474, 703, 1113, 1658, 2393, 3326, 4408, 5558, 6779, 8083, 9410, 10822, 12243
46, 175, 365, 719, 1173, 1648, 2151, 2738, 3389, 4154, 5087, 6095, 7235, 8496, 9879
41, 96, 296, 678, 1177, 1728, 2313, 2988, 3840, 4822, 5890, 7138, 8488, 9995, 11584
197, 399, 668, 940, 1266, 1628, 2065, 2664, 3297, 3982, 4725, 5584, 6558, 7720, 8918
148, 380, 702, 1146, 1769, 2549, 3357, 4348, 5393, 6508, 7821, 9228, 10668, 12243, 13840
187, 551, 1070, 1633, 2253, 3013, 3783, 4624, 5522, 6486, 7495, 8693, 9983, 11438, 12978
177, 501, 978, 1458, 2100, 2810, 3601, 4522, 5604, 6702, 7981, 9282, 10585, 12085, 13626
163, 388, 781, 1244, 1861, 2543, 3283, 4044, 4876, 5856, 7035, 8335, 9653, 11062, 12483
9, 74, 184, 352, 629, 1067, 1581, 2133, 2692, 3257, 3953, 4744, 5610, 6583, 7562
135, 405, 679, 1039, 1483, 2021, 2703, 3559, 4533, 5515, 6636, 7942, 9387, 10950, 12636
37, 242, 522, 978, 1445, 2022, 2627, 3375, 4126, 5025, 6108, 7209, 8416, 9640, 10991
200, 556, 937, 1509, 2148, 2966, 3910, 5052, 6373, 7760, 9329, 10954, 12765, 14634, 16683
15, 34, 253, 654, 1231, 1845, 2631, 3428, 4335, 5246, 6177, 7253, 8401, 9708, 11140
91, 246, 503, 805, 1234, 1780, 2427, 3266, 4204, 5268, 6520, 7818, 9312, 10813, 12391
198, 457, 718, 1038, 1384, 1793, 2324, 3006, 3811, 4694, 5660, 6707, 7762, 8951, 10264
119, 393, 727, 1240, 1857, 2672, 3630, 4712, 5847, 7070, 8350, 9781, 11221, 12853, 14660
75, 168, 399, 802, 1332, 2006, 2778, 3727, 4687, 5802, 6940, 8119, 9347, 10763, 12214
97, 390, 809, 1385, 2082, 2906, 3737, 4727, 5816, 6956, 8160, 9495, 10932, 12494, 14093
50, 202, 460, 899, 1436, 2106, 2892, 3812, 4854, 5904, 7068, 8234, 9558, 10961, 12483
110, 352, 765, 1355, 2011, 2761, 3697, 4744, 5864, 7034, 8317, 9663, 11028, 12538, 14162
13, 152, 430, 895, 1397, 1988, 2712, 3533, 4497, 5509, 6610, 7902, 9372, 10847, 12497
140, 305, 604, 936, 1300, 1686, 2103, 2700, 3422, 4301, 5236, 6206, 7234, 8380, 9627
141, 461, 822, 1256, 1730, 2382, 3037, 3814, 4736, 5714, 6850, 8119, 9445, 10891, 12526
7, 57, 167, 448, 779, 1126, 1483, 1905, 2461, 3033, 3702, 4465, 5412, 6380, 7425
94, 235, 544, 1001, 1580, 2168, 2825, 3644, 4498, 5367, 6389, 7524, 8687, 10049, 11470
117, 362, 710, 1168, 1780, 2432, 3109, 3825, 4610, 5456, 6426, 7531, 8737, 10008, 11315
42, 268, 639, 1067, 1684, 2396, 3126, 3891, 4699, 5577, 6543, 7655, 8936, 10263, 11603
163, 347, 628, 1094, 1747, 2553, 3506, 4585, 5831, 7218, 8685, 10205, 11834, 13490, 15333
36, 245, 549, 857, 1364, 1888, 2417, 2966, 3566, 4345, 5260, 6361, 7522, 8814, 10200
62, 232, 453, 823, 1260, 1704, 2224, 2936, 3817, 4810, 5860, 7002, 8169, 9412, 10684
13, 149, 456, 884, 1504, 2318, 3134, 3977, 4953, 6106, 7274, 8514, 9888, 11439, 13010
177, 545, 1042, 1652, 2300, 2969, 3677, 4580, 5553, 6549, 7602, 8842, 10119, 11595, 13162
19, 118, 294, 555, 970, 1437, 2100, 2870, 3751, 4657, 5671, 6879, 8091, 9497, 10967
118, 307, 511, 757, 1147, 1705, 2270, 2863, 3469, 4127, 4963, 5950, 7086, 8393, 9749
115, 419, 823, 1251, 1700, 2258, 3016, 3823, 4761, 5779, 6910, 8128, 9406, 10851, 12332
21, 134, 256, 558, 1047, 1735, 2544, 3487, 4469, 5474, 6677, 8041, 9548, 11154, 12948
77, 230, 514, 995, 1662, 2499, 3357, 4341, 5426, 6620, 7960, 9420, 10928, 12441, 14141
36, 85, 309, 582, 1043, 1618, 2301, 3151, 4159, 5225, 6449, 7796, 9207, 10631, 12242
19, 55, 228, 544, 888, 1372, 1944, 2576, 3219, 4041, 4897, 5809, 6910, 8096, 9431
86, 237, 526, 966, 1597, 2415, 3402, 4562, 5789, 7207, 8751, 10493, 12279, 14130, 16068
103, 268, 492, 719, 1123, 1663, 2336, 3118, 4039, 5118, 6252, 7479, 8752, 10083, 11459
153, 505, 940, 1401, 1887, 2412, 3003, 3715, 4489, 5395, 6443, 7653, 9049, 10605, 12184
46, 245, 490, 932, 1407, 2054, 2725, 3445, 4264, 5272, 6427, 7700, 8999, 10357, 11812
72, 182, 386, 771, 1326, 2078, 3028, 4082, 5143, 6397, 7848, 9394, 10959, 12681, 14512
141, 330, 545, 932, 1343, 1949, 2695, 3599, 4559, 5616, 6729, 7970, 9306, 10758, 12268
191, 575, 1129, 1702, 2342, 3164, 4151, 5220, 6359, 7568, 8843, 10201, 11583, 13144, 14829
194, 588, 1060, 1727, 2457, 3334, 4387, 5537, 6781, 8213, 9719, 11379, 13196, 15208, 17264
96, 232, 463, 743, 1036, 1450, 1874, 2433, 3015, 3765, 4529, 5393, 6278, 7283, 8319
90, 319, 736, 1319, 2014, 2804, 3737, 4716, 5845, 7166, 8659, 10182, 11751, 13402, 15189
55, 252, 487, 817, 1239, 1852, 2635, 3614, 4753, 6064, 7521, 9127, 10791, 12592, 14412
131, 394, 689, 1000, 1340, 1742, 2174, 2696, 3266, 3869, 4665, 5588, 6536, 7554, 8734
129, 387, 825, 1444, 2143, 2901, 3674, 4563, 5530, 6524, 7703, 8929, 10156, 11518, 13032
88, 194, 399, 796, 1280, 1865, 2464, 3203, 3948, 4789, 5691, 6603, 7564, 8659, 9921
12, 31, 239, 461, 821, 1335, 1894, 2600, 3492, 4447, 5485, 6535, 7749, 9000, 10417
173, 382, 674, 1132, 1774, 2587, 3586, 4646, 5845, 7166, 8680, 10205, 11919, 13819, 15732
130, 325, 711, 1201, 1704, 2324, 3121, 3921, 4859, 5832, 6860, 7922, 9184, 10583, 12150
