5, 13, 8, 41
4, 3, 21, 15
2, 20, 24, 4
4, 0, 38, 12
5, 8, 11, 66
9, 16, 21, 47
0, 8, 22, 25
9, 8, 27, 32
8, 1, 12, 61
9, 7, 6, 70
3, 7, 33, 9
6, 1, 3, 78
7, 14, 11, 26
3, 14, 24, 48
6, 19, 16, 58
0, 14, 38, 10
6, 14, 13, 62
6, 7, 14, 39
5, 11, 40, 48
6, 15, 37, 17
5, 20, 10, 43
4, 17, 2, 59
3, 17, 25, 11
5, 2, 37, 65
3, 11, 36, 44
7, 9, 17, 39
9, 16, 34, 27
1, 10, 4, 41
2, 14, 23, 6
4, 3, 31, 80
1, 1, 8, 37
4, 13, 11, 54
8, 1, 39, 64
8, 15, 29, 24
4, 10, 19, 25
6, 18, 5, 22
8, 15, 40, 46
4, 2, 6, 28
2, 6, 15, 80
3, 20, 5, 27
4, 16, 22, 22
0, 17, 31, 68
2, 13, 23, 40
5, 9, 36, 15
8, 20, 21, 58
7, 6, 28, 51
6, 12, 3, 40
9, 6, 34, 5
9, 7, 11, 75
7, 3, 0, 66
7, 10, 21, 13
1, 4, 21, 20
1, 14, 24, 76
3, 4, 33, 38
4, 3, 17, 18
6, 19, 8, 5
6, 6, 37, 34
9, 3, 10, 62
2, 4, 31, 65
4, 9, 35, 35
7, 8, 23, 43
9, 5, 29, 53
2, 0, 26, 69
3, 5, 14, 21
4, 11, 16, 22
9, 7, 19, 40
8, 15, 8, 52
1, 1, 3, 17
6, 5, 13, 9
6, 0, 13, 15
6, 8, 14, 43
7, 19, 33, 37
2, 13, 13, 80
6, 2, 24, 12
1, 7, 17, 13
9, 6, 39, 26
8, 18, 35, 19
6, 6, 17, 80
2, 19, 8, 0
6, 20, 5, 21
3, 11, 33, 43
1, 1, 10, 16
9, 13, 20, 63
1, 8, 13, 29
2, 11, 14, 8
8, 10, 15, 19
7, 0, 24, 72
2, 19, 14, 9
3, 1, 7, 42
1, 0, 15, 33
5, 3, 10, 19
4, 0, 0, 55
8, 13, 9, 1
6, 9, 20, 4
7, 12, 11, 50
0, 0, 32, 43
6, 10, 3, 43
6, 11, 24, 77
7, 18, 21, 44
3, 14, 1, 78
5, 7, 24, 40
7, 2, 19, 21
3, 9, 24, 64
3, 11, 19, 72
9, 19, 9, 5
9, 14, 8, 61
4, 6, 15, 23
7, 4, 11, 57
5, 4, 27, 10
2, 19, 2, 29
1, 12, 35, 62
9, 0, 19, 56
8, 9, 1, 12
6, 17, 24, 49
4, 16, 6, 45
4, 4, 9, 16
0, 0, 24, 17
5, 11, 20, 16
4, 16, 11, 56
7, 8, 9, 75
9, 1, 4, 58
0, 0, 0, 22
6, 14, 5, 80
3, 6, 40, 38
8, 0, 15, 43
5, 2, 36, 5
0, 2, 31, 49
2, 19, 16, 25
1, 20, 8, 60
7, 10, 33, 23
3, 1, 33, 6
5, 15, 20, 71
8, 8, 23, 36
8, 9, 36, 55
7, 2, 11, 75
6, 17, 26, 30
2, 14, 20, 32
4, 20, 6, 16
7, 20, 18, 9
2, 15, 17, 48
8, 15, 16, 8
1, 16, 18, 63
8, 7, 11, 11
8, 6, 31, 43
8, 12, 39, 75
9, 3, 14, 21
0, 18, 0, 37
9, 16, 39, 26
5, 2, 38, 78
1, 1, 35, 55
8, 13, 15, 12
6, 6, 7, 75
8, 11, 28, 79
9, 18, 10, 59
0, 3, 14, 29
8, 8, 14, 18
3, 8, 18, 23
0, 12, 28, 37
4, 10, 9, 68
3, 7, 17, 10
4, 8, 5, 10
8, 15, 1, 31
4, 7, 32, 41
3, 18, 36, 2
7, 13, 1, 63
6, 0, 31, 9
3, 6, 40, 20
4, 10, 20, 80
1, 6, 27, 30
5, 16, 34, 24
6, 7, 19, 31
1, 17, 12, 51
2, 13, 20, 29
8, 0, 21, 33
7, 18, 12, 37
4, 14, 7, 77
5, 15, 9, 35
1, 11, 32, 26
0, 17, 31, 63
3, 17, 32, 50
5, 8, 6, 4
3, 9, 16, 10
6, 15, 19, 28
1, 20, 13, 15
2, 2, 4, 14
7, 6, 28, 1
9, 17, 24, 52
5, 12, 31, 48
6, 19, 40, 80
0, 17, 4, 30
3, 18, 31, 42
4, 5, 21, 40
6, 13, 39, 47
9, 5, 7, 20
1, 0, 1, 27
9, 3, 5, 38
9, 15, 24, 22
0, 9, 20, 11
